line_name;from_bus;to_bus;length;std_type
Line 1-2;MV Bus 1;MV Bus 2;2,82;CABLE_CIGRE_MV
Line 2-3;MV Bus 2;MV Bus 3;4,42;CABLE_CIGRE_MV
Line 3-4;MV Bus 3;MV Bus 4;0,61;CABLE_CIGRE_MV
Line 4-5;MV Bus 4;MV Bus 5;0,56;CABLE_CIGRE_MV
Line 5-6;MV Bus 5;MV Bus 6;1,54;CABLE_CIGRE_MV
Line 6-7;MV Bus 6;MV Bus 7;0,24;CABLE_CIGRE_MV
Line 7-8;MV Bus 7;MV Bus 8;1,67;CABLE_CIGRE_MV
Line 8-9;MV Bus 8;MV Bus 9;0,32;CABLE_CIGRE_MV
Line 9-10;MV Bus 9;MV Bus 10;0,77;CABLE_CIGRE_MV
Line 10-11;MV Bus 10;MV Bus 11;0,33;CABLE_CIGRE_MV
Line 3-8;MV Bus 3;MV Bus 8;1,3;CABLE_CIGRE_MV
Line 4-11;MV Bus 4;MV Bus 11;0,49;CABLE_CIGRE_MV
Line 12-13;MV Bus 12;MV Bus 13;4,89;OHL_CIGRE_MV
Line 13-14;MV Bus 13;MV Bus 14;2,99;OHL_CIGRE_MV
Line 8-14;MV Bus 8;MV Bus 14;2;OHL_CIGRE_MV
