line_name;from_bus;to_bus;length;std_type
LV Line1.1;Bus LV0;Bus LV1.1;0,1;NAYY 4x120 SE
LV Line1.2;Bus LV1.1;Bus LV1.2;0,1;NAYY 4x120 SE
LV Line1.3;Bus LV1.2;Bus LV1.3;0,1;NAYY 4x120 SE
LV Line1.4;Bus LV1.3;Bus LV1.4;0,1;NAYY 4x120 SE
LV Line2.1;Bus LV0;Bus LV2.1;0,1;NAYY 4x120 SE
LV Line2.2;Bus LV2.1;Bus LV2.2;0,1;NAYY 4x120 SE
LV Line2.3;Bus LV2.2;Bus LV2.3;0,1;NAYY 4x120 SE
LV Line2.4;Bus LV2.3;Bus LV2.4;0,1;NAYY 4x120 SE
LV Line3.1;Bus LV0;Bus LV3.1;0,1;NAYY 4x120 SE
LV Line3.2;Bus LV3.1;Bus LV3.2;0,1;NAYY 4x120 SE
LV Line3.3;Bus LV3.2;Bus LV3.3;0,1;NAYY 4x120 SE
LV Line3.4;Bus LV3.3;Bus LV3.4;0,1;NAYY 4x120 SE
