load_name;bus;p;q
Residential Load(1);Bus LV1.1;0.003;0.0015
Residential Load(2);Bus LV1.2;0.003;0.0015
Residential Load(3);Bus LV1.3;0.003;0.0015
Residential Load(4);Bus LV1.4;0.003;0.0015
Residential Load(5);Bus LV2.1;0.003;0.0015
Residential Load(6);Bus LV2.2;0.003;0.0015
Residential Load(7);Bus LV2.3;0.003;0.0015
Residential Load(8);Bus LV2.4;0.003;0.0015
Residential Load(9);Bus LV3.1;0.003;0.0015
Residential Load(10);Bus LV3.2;0.003;0.0015
Residential Load(11);Bus LV3.3;0.003;0.0015
Residential Load(12);Bus LV3.4;0.003;0.0015
