HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_1;HomeModel-0.Smart_Home_2;HomeModel-0.Smart_Home_2;HomeModel-0.Smart_Home_2;HomeModel-0.Smart_Home_2
e_max_flex;e_min_flex;p_max_flex;p_min_flex;e_max_flex;e_min_flex;p_max_flex;p_min_flex
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
50.0;-8.0;35.2;-13.2;70.0;-8.0;57.2;-13.2
