p_set;p_error;e_flex;p_demand
0.0;0;-800.0;0.0
0.0;0;-798.2720000000004;0.0
0.0;0;-799.4720000000003;0.0
0.0;0;-803.2639999999996;0.0
0.0;0;-809.6000000000003;0.0
0.0;0;-818.3840000000006;0.0
0.0;0;-829.3760000000007;0.0
0.0;0;-842.3840000000006;0.0
0.0;0;-856.9759999999998;0.0
0.0;0;-872.6720000000009;0.0
0.0;0;-889.1359999999996;0.0
0.0;0;-906.1760000000003;0.0
0.0;0;-923.6000000000009;0.0
0.0;0;-941.4080000000004;0.0
0.0;0;-959.6000000000003;0.0
0.0;0;-978.1280000000006;0.0
0.0;0;-996.9439999999995;0.0
0.0;0;-1016.0480000000005;0.0
0.0;0;-1035.7416000000003;0.0
0.0;0;-1056.6399999999999;0.0
0.0;0;-1078.5608;0.0
0.0;0;-1101.4895999999999;0.0
0.0;0;-1125.2407999999998;0.0
0.0;0;-1148.7304000000001;0.0
0.0;0;-1172.7831999999999;0.0
0.0;0;-1197.9312;0.0
0.0;0;-1225.4895999999999;0.0
0.0;0;-1251.9776000000004;0.0
0.0;0;-1275.2296000000003;0.0
0.0;0;-1297.5160000000003;0.0
0.0;0;-1323.808;0.0
0.0;0;-1350.5143999999998;0.0
0.0;0;-1380.9784000000002;0.0
0.0;0;-1404.0735999999997;0.0
0.0;0;-1419.2928000000002;0.0
0.0;0;-1437.6600000000003;0.0
0.0;0;-1453.9712;0.0
0.0;0;-1469.3672;0.0
0.0;0;-1471.1847999999995;0.0
0.0;0;-1474.9152000000001;0.0
0.0;0;-1487.6016000000002;0.0
0.0;0;-1499.2976000000003;0.0
0.0;0;-1486.5703999999996;0.0
0.0;0;-1497.0344000000002;0.0
0.0;0;-1507.0288000000003;0.0
-11.59511217842768;0;-1518.2296000000001;-11.59511217842768
0.0;0;-1501.2504000000001;0.0
0.0;0;-1505.3031999999998;0.0
0.0;0;-1513.0855999999999;0.0
-293.4090363620009;0;-1504.3440000000003;-293.4090363620009
0.0;0;-1482.9535999999996;0.0
0.0;0;-1494.7927999999997;0.0
0.0;0;-1506.1232;0.0
0.0;0;-1484.0600000000004;0.0
0.0;0;-1510.9944;0.0
0.0;0;-1522.1279999999997;0.0
0.0;0;-1549.1735999999999;0.0
0.0;0;-1569.0351999999998;0.0
0.0;0;-1574.6975999999997;0.0
0.0;0;-1588.5112000000001;0.0
0.0;0;-1596.8704;0.0
0.0;0;-1597.7752;0.0
0.0;0;-1599.2;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1600.0;0.0
0.0;0;-1597.6064;0.0
0.0;0;-1581.7495999999996;0.0
-16.11656976084897;0;-1552.764;-16.11656976084897
-140.76870717574607;0;-1534.9920000000006;-140.76870717574607
-212.62865244602813;0;-1501.2640000000004;-212.62865244602813
-254.42331450050688;0;-1448.9440000000002;-254.42331450050688
-274.42708364879246;0;-1385.9360000000004;-274.42708364879246
-236.05106423459694;0;-1318.9440000000002;-236.05106423459694
-131.33921381599694;0;-1261.7920000000004;-131.33921381599694
0.0;0;-1229.9679999999998;0.0
0.0;0;-1201.104;0.0
0.0;0;-1166.88;0.0
0.0;0;-1136.5919999999999;0.0
0.0;0;-1109.136;0.0
0.0;0;-1083.696;0.0
-548.5204120612436;0;-1059.888;-548.5204120612436
-470.42020436712625;0;-954.6399999999999;-470.42020436712625
-345.7138460050299;0;-838.3199999999999;-345.7138460050299
-208.29840975735215;0;-752.2400000000001;-208.29840975735215
-85.26266914344058;0;-699.7599999999999;-85.26266914344058
0.0;0;-679.2320000000001;0.0
0.0;0;-673.3279999999999;0.0
0.0;0;-671.2368000000001;0.0
0.0;0;-672.5808;0.0
